"~id","~labels","termo","codigo","categoria","ch_teorica","nome","ch_pratica","label","ch_extensao"
"4:f4b58906-e3ae-4787-871e-1af324202838:0","UCS",1,"8907","OPTATIVA",36,"ANÁLISE COMBINATÓRIA E PROBABILIDADE",0,"8907 - ANÁLISE COMBINATÓRIA E PROBABILIDADE",
"4:f4b58906-e3ae-4787-871e-1af324202838:1","UCS",1,"8824","OPTATIVA",18,"ANÁLISE EXPLORATÓRIA DE DADOS USANDO R",0,"8824 - ANÁLISE EXPLORATÓRIA DE DADOS USANDO R",
"4:f4b58906-e3ae-4787-871e-1af324202838:2","UCS",1,"5702","FIXA",72,"CÁLCULO EM UMA VARIÁVEL",36,"5702 - CÁLCULO EM UMA VARIÁVEL",
"4:f4b58906-e3ae-4787-871e-1af324202838:36","UCS",2,"5844","ELETIVA",72,"MATEMÁTICA GERAL",0,"5844 - MATEMÁTICA GERAL",
"4:f4b58906-e3ae-4787-871e-1af324202838:41","UCS",2,"4328","ELETIVA",62,"SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS",10,"4328 - SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS",
"4:f4b58906-e3ae-4787-871e-1af324202838:49","UCS",3,"5359","ELETIVA",62,"CÁLCULO EM VÁRIAS VARIÁVEIS",10,"5359 - CÁLCULO EM VÁRIAS VARIÁVEIS",
"4:f4b58906-e3ae-4787-871e-1af324202838:54","UCS",3,"5101","INTERDISCIPLINAR",50,"ECONOMIA MATEMÁTICA",22,"5101 - ECONOMIA MATEMÁTICA",
"4:f4b58906-e3ae-4787-871e-1af324202838:65","UCS",3,"4352","INTERDISCIPLINAR",18,"MODELAGEM COMPUTACIONAL",18,"4352 - MODELAGEM COMPUTACIONAL",
"4:f4b58906-e3ae-4787-871e-1af324202838:86","UCS",4,"2828","ELETIVA",58,"CÁLCULO NUMÉRICO",14,"2828 - CÁLCULO NUMÉRICO",
"4:f4b58906-e3ae-4787-871e-1af324202838:122","UCS",4,"4773","ELETIVA",72,"TERMODINÂMICA QUÍMICA",0,"4773 - TERMODINÂMICA QUÍMICA",8
"4:f4b58906-e3ae-4787-871e-1af324202838:129","UCS",5,"5773","ELETIVA",72,"ANÁLISE REAL I",0,"5773 - ANÁLISE REAL I",
"4:f4b58906-e3ae-4787-871e-1af324202838:165","UCS",5,"2609","INTERDISCIPLINAR",54,"PROBABILIDADE E ESTATÍSTICA",18,"2609 - PROBABILIDADE E ESTATÍSTICA",18
"4:f4b58906-e3ae-4787-871e-1af324202838:3","UCS",1,"2672","FIXA",36,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",0,"2672 - CIÊNCIA, TECNOLOGIA E SOCIEDADE",
"4:f4b58906-e3ae-4787-871e-1af324202838:70","UCS",3,"8240","INTERDISCIPLINAR",0,"PRÁTICA EM PROJETOS EXTENSIONISTAS I",72,"8240 - PRÁTICA EM PROJETOS EXTENSIONISTAS I",72
"4:f4b58906-e3ae-4787-871e-1af324202838:116","UCS",4,"8051","INTERDISCIPLINAR",0,"PRÁTICA EM PROJETOS EXTENSIONISTAS II",72,"8051 - PRÁTICA EM PROJETOS EXTENSIONISTAS II",72
"4:f4b58906-e3ae-4787-871e-1af324202838:4","UCS",1,"8821","OPTATIVA",22,"COORDENADAS POLARES, CILÍNDRICAS E ESFÉRICAS",0,"8821 - COORDENADAS POLARES, CILÍNDRICAS E ESFÉRICAS",
"4:f4b58906-e3ae-4787-871e-1af324202838:5","UCS",1,"8823","OPTATIVA",22,"FUNÇÕES TRIGONOMÉTRICAS",0,"8823 - FUNÇÕES TRIGONOMÉTRICAS",
"4:f4b58906-e3ae-4787-871e-1af324202838:6","UCS",1,"5703","FIXA",72,"FUNDAMENTOS DE BIOLOGIA MODERNA",0,"5703 - FUNDAMENTOS DE BIOLOGIA MODERNA",
"4:f4b58906-e3ae-4787-871e-1af324202838:24","UCS",2,"5843","ELETIVA",72,"BIOLOGIA MOLECULAR DO GENE",0,"5843 - BIOLOGIA MOLECULAR DO GENE",20
"4:f4b58906-e3ae-4787-871e-1af324202838:25","UCS",2,"5842","ELETIVA",72,"BIOQUÍMICA I",0,"5842 - BIOQUÍMICA I",
"4:f4b58906-e3ae-4787-871e-1af324202838:48","UCS",3,"5741","ELETIVA",72,"BIOLOGIA MOLECULAR DA CÉLULA",0,"5741 - BIOLOGIA MOLECULAR DA CÉLULA",
"4:f4b58906-e3ae-4787-871e-1af324202838:104","UCS",4,"4760","INTERDISCIPLINAR",36,"INTRODUÇÃO À BIOTECNOLOGIA",0,"4760 - INTRODUÇÃO À BIOTECNOLOGIA",4
"4:f4b58906-e3ae-4787-871e-1af324202838:202","UCS",6,"5933","ELETIVA",56,"BIOSSENSORES",16,"5933 - BIOSSENSORES",12
"4:f4b58906-e3ae-4787-871e-1af324202838:7","UCS",1,"8962","OPTATIVA",20,"INTRODUÇÃO À ASTRONOMIA E ASTROFÍSICA",0,"8962 - INTRODUÇÃO À ASTRONOMIA E ASTROFÍSICA",
"4:f4b58906-e3ae-4787-871e-1af324202838:8","UCS",1,"8819","OPTATIVA",36,"INTRODUÇÃO A RMN",0,"8819 - INTRODUÇÃO A RMN",
"4:f4b58906-e3ae-4787-871e-1af324202838:9","UCS",1,"8898","OPTATIVA",20,"INTRODUÇÃO À TEORIA DE CONJUNTOS FUZZY E APLICAÇÕES",0,"8898 - INTRODUÇÃO À TEORIA DE CONJUNTOS FUZZY E APLICAÇÕES",
"4:f4b58906-e3ae-4787-871e-1af324202838:10","UCS",1,"8908","OPTATIVA",20,"INTRODUÇÃO AO SOFTWARE R",0,"8908 - INTRODUÇÃO AO SOFTWARE R",
"4:f4b58906-e3ae-4787-871e-1af324202838:11","UCS",1,"7684","ELETIVA",0,"LABORATÓRIO DE MATEMÁTICA",36,"7684 - LABORATÓRIO DE MATEMÁTICA",
"4:f4b58906-e3ae-4787-871e-1af324202838:12","UCS",1,"9394","FIXA",42,"LÓGICA DE PROGRAMAÇÃO",30,"9394 - LÓGICA DE PROGRAMAÇÃO",
"4:f4b58906-e3ae-4787-871e-1af324202838:21","UCS",2,"2832","ELETIVA",36,"ALGORITMOS E ESTRUTURAS DE DADOS I",36,"2832 - ALGORITMOS E ESTRUTURAS DE DADOS I",
"4:f4b58906-e3ae-4787-871e-1af324202838:44","UCS",3,"5414","INTERDISCIPLINAR",36,"ALGORITMOS EM BIOINFORMÁTICA",36,"5414 - ALGORITMOS EM BIOINFORMÁTICA",
"4:f4b58906-e3ae-4787-871e-1af324202838:79","UCS",3,"6074","INTERDISCIPLINAR",24,"TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO I",12,"6074 - TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO I",
"4:f4b58906-e3ae-4787-871e-1af324202838:82","UCS",4,"3519","ELETIVA",52,"ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES",20,"3519 - ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES",
"4:f4b58906-e3ae-4787-871e-1af324202838:126","UCS",4,"6080","INTERDISCIPLINAR",24,"TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO II",12,"6080 - TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO II",
"4:f4b58906-e3ae-4787-871e-1af324202838:152","UCS",5,"5372","INTERDISCIPLINAR",36,"INTRODUÇÃO À BIOINFORMÁTICA",36,"5372 - INTRODUÇÃO À BIOINFORMÁTICA",8
"4:f4b58906-e3ae-4787-871e-1af324202838:157","UCS",5,"2616","ELETIVA",72,"LINGUAGENS FORMAIS E AUTÔMATOS",0,"2616 - LINGUAGENS FORMAIS E AUTÔMATOS",
