cod_origem,cod_destino1,cod_destino2,cod_destino3,cod_destino4
9548,5933,6033,8217,8273
9826,2650,4328,5359,9394
8210,2650,4328,5359,9394
9827,2650,4328,5359,9394
8240,2672,5703,5704,9394
8051,2672,5703,5704,9394
6104,2475,2828,4328,
9795,5142,5143,5144,
6931,5142,5143,5144,
5881,5142,5143,5144,
5387,5142,5143,5144,
7580,5142,5143,5144,
9797,5142,5143,5144,
5787,5142,5143,5144,
4536,4350,4370,5704,
5933,4748,5703,5704,
8042,4328,5414,8215,
6112,4165,5763,8215,
9904,6107,8217,8273,
5412,2614,2652,,
4146,2475,2828,,
9882,2614,2831,,
3579,2201,2833,,
6051,2609,4148,,
6094,2475,4328,,
9828,2650,4328,,
9829,2650,4328,,
3581,2832,4328,,
4770,2650,4369,,
6048,2828,4369,,
6075,2832,4369,,
4404,4328,4369,,
6053,3163,4401,,
9831,3584,4406,,
5364,4348,4538,,
4403,4369,4748,,
5136,4328,4770,,
5762,5119,5120,,
5786,4350,5144,,
5785,5136,5144,,
6928,4764,5145,,
4405,2475,5359,,
6081,2609,5359,,
6082,2609,5359,,
3163,2609,5359,,
4402,2828,5359,,
6045,4328,5359,,
3584,4328,5359,,
4547,4328,5359,,
4545,4328,5359,,
5878,5143,5401,,
4165,5132,5414,,
8218,5132,5414,,
5359,2650,5702,,
2828,2650,5702,,
4772,4370,5704,,
4773,5702,5704,,
5860,5372,5760,,
6044,5359,5773,,
9877,4350,5842,,
5845,5842,5843,,
5119,5746,5844,,
5867,5843,5859,,
5903,4748,5902,,
6089,4748,5903,,
6090,3519,5928,,
9883,2475,6062,,
6098,2615,6095,,
6102,2612,6098,,
6109,2617,6102,,
9800,5387,6671,,
5877,6671,6928,,
6114,5124,8215,,
5868,5741,8215,,
6110,6033,8217,,
9902,5364,8272,,
2616,2201,9394,,
4150,2609,9394,,
4413,2609,9394,,
4148,2650,9394,,
3519,3518,9394,,
9881,3518,9394,,
6033,3518,9394,,
4662,3519,9394,,
6105,5132,9394,,
4352,5702,9394,,
5372,5741,9394,,
5774,2201,,,
6052,2201,,,
4406,2201,,,
5168,2471,,,
2614,2471,,,
5781,2471,,,
9880,2471,,,
5937,2471,,,
2199,2471,,,
5373,2475,,,
6046,2475,,,
4412,2475,,,
4166,2609,,,
4401,2609,,,
6055,2609,,,
8043,2609,,,
6943,2609,,,
3580,2612,,,
2617,2612,,,
3819,2612,,,
8288,2612,,,
3049,2612,,,
3050,2614,,,
2615,2616,,,
2475,2650,,,
4782,2831,,,
2833,2832,,,
4410,2832,,,
2471,2832,,,
6103,2832,,,
3051,2832,,,
3490,2832,,,
2612,2832,,,
6166,2832,,,
6168,2832,,,
6092,2832,,,
5096,2832,,,
2831,2832,,,
4781,2832,,,
8536,2832,,,
3489,2832,,,
8668,2832,,,
3047,2832,,,
6165,2832,,,
9014,2832,,,
6167,2832,,,
7214,2832,,,
6169,2832,,,
7217,2832,,,
6097,2832,,,
6054,3163,,,
6056,3163,,,
4147,3163,,,
5928,3518,,,
5930,3518,,,
2975,3579,,,
4663,3580,,,
6047,4148,,,
5102,4148,,,
8533,4328,,,
9792,4328,,,
5132,4328,,,
7583,4348,,,
4538,4369,,,
5746,4369,,,
9817,4369,,,
6057,4401,,,
7493,4541,,,
5869,4714,,,
5137,4748,,,
9802,4748,,,
8219,4748,,,
9818,4748,,,
7232,4764,,,
5142,4764,,,
5143,4764,,,
5144,4764,,,
6674,4764,,,
5393,4764,,,
6927,4764,,,
9799,4764,,,
5145,4770,,,
5398,4770,,,
5121,5120,,,
5848,5120,,,
5922,5132,,,
5931,5132,,,
5394,5136,,,
5761,5137,,,
5875,5142,,,
5784,5142,,,
5402,5142,,,
8649,5143,,,
6671,5143,,,
6942,5144,,,
6666,5144,,,
5871,5144,,,
9801,5144,,,
10126,5144,,,
5782,5144,,,
6078,5356,,,
6083,5359,,,
6085,5359,,,
5856,5372,,,
7670,5386,,,
9806,5386,,,
5776,5398,,,
6107,5453,,,
5844,5702,,,
4328,5702,,,
5101,5702,,,
5773,5702,,,
2609,5702,,,
5843,5703,,,
5842,5703,,,
5741,5703,,,
4760,5703,,,
4370,5704,,,
5169,5704,,,
4350,5704,,,
4764,5704,,,
5170,5704,,,
5883,5704,,,
5401,5704,,,
5859,5740,,,
4375,5741,,,
9917,5741,,,
5855,5741,,,
5390,5741,,,
5850,5760,,,
5851,5762,,,
5852,5762,,,
5918,5773,,,
6049,5773,,,
8529,5773,,,
5873,5784,,,
5879,5785,,,
5847,5842,,,
5760,5842,,,
5853,5842,,,
5739,5843,,,
5858,5843,,,
5861,5853,,,
5864,5855,,,
5865,5857,,,
5866,5858,,,
5890,5873,,,
6682,5873,,,
9016,5873,,,
8101,5900,,,
5901,5900,,,
8041,5900,,,
5386,5903,,,
8521,5903,,,
8273,5903,,,
8217,5903,,,
5453,5903,,,
5763,5903,,,
5863,6088,,,
8532,6089,,,
6095,6090,,,
8271,6102,,,
9689,6671,,,
5888,6671,,,
6929,6671,,,
9509,6928,,,
5889,6928,,,
8272,8215,,,
6115,8215,,,
5141,8215,,,
6111,8215,,,
8216,8215,,,
8522,8217,,,
8530,8273,,,
2832,9394,,,
5414,9394,,,
6074,9394,,,
6080,9394,,,
4164,9394,,,
5770,9394,,,
9803,9802,,,
10245,9903,,,
