"~id","~start_node_id","~end_node_id","~relationship_type"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847012","4:f4b58906-e3ae-4787-871e-1af324202838:36","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847017","4:f4b58906-e3ae-4787-871e-1af324202838:41","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532273","4:f4b58906-e3ae-4787-871e-1af324202838:49","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847030","4:f4b58906-e3ae-4787-871e-1af324202838:54","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847041","4:f4b58906-e3ae-4787-871e-1af324202838:65","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532310","4:f4b58906-e3ae-4787-871e-1af324202838:86","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847098","4:f4b58906-e3ae-4787-871e-1af324202838:122","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847105","4:f4b58906-e3ae-4787-871e-1af324202838:129","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847141","4:f4b58906-e3ae-4787-871e-1af324202838:165","4:f4b58906-e3ae-4787-871e-1af324202838:2","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847046","4:f4b58906-e3ae-4787-871e-1af324202838:70","4:f4b58906-e3ae-4787-871e-1af324202838:3","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847092","4:f4b58906-e3ae-4787-871e-1af324202838:116","4:f4b58906-e3ae-4787-871e-1af324202838:3","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847000","4:f4b58906-e3ae-4787-871e-1af324202838:24","4:f4b58906-e3ae-4787-871e-1af324202838:6","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847001","4:f4b58906-e3ae-4787-871e-1af324202838:25","4:f4b58906-e3ae-4787-871e-1af324202838:6","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847024","4:f4b58906-e3ae-4787-871e-1af324202838:48","4:f4b58906-e3ae-4787-871e-1af324202838:6","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532294","4:f4b58906-e3ae-4787-871e-1af324202838:70","4:f4b58906-e3ae-4787-871e-1af324202838:6","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847080","4:f4b58906-e3ae-4787-871e-1af324202838:104","4:f4b58906-e3ae-4787-871e-1af324202838:6","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532340","4:f4b58906-e3ae-4787-871e-1af324202838:116","4:f4b58906-e3ae-4787-871e-1af324202838:6","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532426","4:f4b58906-e3ae-4787-871e-1af324202838:202","4:f4b58906-e3ae-4787-871e-1af324202838:6","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606846997","4:f4b58906-e3ae-4787-871e-1af324202838:21","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847020","4:f4b58906-e3ae-4787-871e-1af324202838:44","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532289","4:f4b58906-e3ae-4787-871e-1af324202838:65","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1159676904047902790","4:f4b58906-e3ae-4787-871e-1af324202838:70","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847055","4:f4b58906-e3ae-4787-871e-1af324202838:79","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532306","4:f4b58906-e3ae-4787-871e-1af324202838:82","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1159676904047902836","4:f4b58906-e3ae-4787-871e-1af324202838:116","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
